300, 500.2, 
300, 470.2, 
300, 470.2, 
300, 440.2, 
300, 440.2, 
300, 410.2, 
300, 410.2, 
285, 384.219, 
285, 384.219, 
285, 354.219, 
285, 354.219, 
285, 339.219, 
285, 354.219, 
292.5, 341.229, 
285, 384.219, 
270, 358.238, 
270, 358.238, 
257.01, 350.738, 
300, 440.2, 
300, 410.2, 
300, 410.2, 
300, 380.2, 
300, 380.2, 
300, 350.2, 
300, 350.2, 
292.5, 337.21, 
300, 350.2, 
300, 335.2, 
300, 350.2, 
307.5, 337.21, 
300, 440.2, 
315, 414.219, 
315, 414.219, 
330, 388.238, 
330, 388.238, 
330, 358.238, 
330, 358.238, 
330, 343.238, 
330, 358.238, 
337.5, 345.248, 
330, 358.238, 
330, 343.238, 
